PrevToken	Token	NextToken	Label
<START>	add	coconut milk	O
add	coconut milk	to	B-NEW
coconut milk	to	the	O
to	the	list	O
the	list	<END>	B-NEW
<START>	trade	quinoa	O
trade	quinoa	for	B-OLD
quinoa	for	oat flour	O
for	oat flour	<END>	B-NEW
<START>	can	you	O
can	you	remove	O
you	remove	rice	O
remove	rice	?	B-OLD
rice	?	<END>	I-OLD
<START>	exchange	butter	O
exchange	butter	with	B-OLD
butter	with	cheese	O
with	cheese	<END>	B-NEW
<START>	change	rice	O
change	rice	to	B-OLD
rice	to	cheese	O
to	cheese	<END>	B-OLD
<START>	get	rid	O
get	rid	of	O
rid	of	eggs	O
of	eggs	<END>	B-OLD
<START>	exclude	almond milk	O
exclude	almond milk	<END>	B-OLD
<START>	please	add	O
please	add	sugar	O
add	sugar	<END>	B-NEW
<START>	no	coconut milk	O
no	coconut milk	in	B-OLD
coconut milk	in	this	O
in	this	<END>	O
<START>	include	honey	O
include	honey	please	B-NEW
honey	please	<END>	O
<START>	skip	the	O
skip	the	eggs	O
the	eggs	<END>	B-OLD
<START>	replace	yogurt	O
replace	yogurt	with	B-OLD
yogurt	with	beef	O
with	beef	<END>	B-NEW
<START>	id	like	O
id	like	to	O
like	to	add	O
to	add	butter	O
add	butter	<END>	B-NEW
<START>	add	vegan cheese	O
add	vegan cheese	to	B-NEW
vegan cheese	to	the	O
to	the	list	O
the	list	<END>	B-NEW
<START>	id	like	O
id	like	to	O
like	to	add	O
to	add	vegan cheese	O
add	vegan cheese	<END>	B-NEW
<START>	i	prefer	O
i	prefer	butter	O
prefer	butter	over	B-OLD
butter	over	quinoa	O
over	quinoa	<END>	B-NEW
<START>	use	oat flour	O
use	oat flour	instead	B-NEW
oat flour	instead	of	O
instead	of	almond milk	O
of	almond milk	<END>	B-OLD
<START>	take	out	O
take	out	oat flour	O
out	oat flour	<END>	B-OLD
<START>	delete	olive oil	O
delete	olive oil	from	B-OLD
olive oil	from	the	O
from	the	list	O
the	list	<END>	B-OLD
<START>	exclude	mushroom	O
exclude	mushroom	<END>	B-OLD
<START>	id	like	O
id	like	to	O
like	to	add	O
to	add	oat flour	O
add	oat flour	<END>	B-NEW
<START>	use	almond milk	O
use	almond milk	instead	B-NEW
almond milk	instead	of	O
instead	of	oat flour	O
of	oat flour	<END>	B-OLD
<START>	lets	put	O
lets	put	cheese	O
put	cheese	in	B-NEW
cheese	in	it	O
in	it	<END>	O
<START>	skip	the	O
skip	the	honey	O
the	honey	<END>	B-OLD
<START>	take	out	O
take	out	milk	O
out	milk	<END>	B-OLD
<START>	eliminate	beef	O
eliminate	beef	<END>	B-OLD
<START>	replace	beef	O
replace	beef	with	B-OLD
beef	with	tofu	O
with	tofu	<END>	B-NEW
<START>	please	use	O
please	use	sugar	O
use	sugar	instead	B-NEW
sugar	instead	of	O
instead	of	yogurt	O
of	yogurt	<END>	B-OLD
<START>	skip	the	O
skip	the	butter	O
the	butter	<END>	B-OLD
<START>	please	add	O
please	add	oat flour	O
add	oat flour	<END>	B-NEW
<START>	remove	eggs	O
remove	eggs	<END>	B-OLD
<START>	trade	oat flour	O
trade	oat flour	for	B-OLD
oat flour	for	olive oil	O
for	olive oil	<END>	B-NEW
<START>	trade	tofu	O
trade	tofu	for	B-OLD
tofu	for	olive oil	O
for	olive oil	<END>	B-NEW
<START>	no	quinoa	O
no	quinoa	in	B-OLD
quinoa	in	this	O
in	this	<END>	O
<START>	eliminate	chicken	O
eliminate	chicken	<END>	B-OLD
<START>	eliminate	coconut milk	O
eliminate	coconut milk	<END>	B-OLD
<START>	id	like	O
id	like	to	O
like	to	add	O
to	add	cheese	O
add	cheese	<END>	B-NEW
<START>	get	rid	O
get	rid	of	O
rid	of	chicken	O
of	chicken	<END>	B-OLD
<START>	add	coconut milk	O
add	coconut milk	to	B-NEW
coconut milk	to	the	O
to	the	list	O
the	list	<END>	B-NEW
<START>	throw	in	O
throw	in	some	O
in	some	sugar	O
some	sugar	<END>	B-NEW
<START>	delete	butter	O
delete	butter	from	B-OLD
butter	from	the	O
from	the	list	O
the	list	<END>	B-OLD
<START>	can	you	O
can	you	add	O
you	add	honey	O
add	honey	?	B-NEW
honey	?	<END>	I-NEW
<START>	trade	coconut milk	O
trade	coconut milk	for	B-OLD
coconut milk	for	chia	O
for	chia	seeds	B-NEW
chia	seeds	<END>	I-NEW
<START>	can	you	O
can	you	remove	O
you	remove	eggs	O
remove	eggs	?	B-OLD
eggs	?	<END>	I-OLD
<START>	exchange	vegan cheese	O
exchange	vegan cheese	with	B-OLD
vegan cheese	with	butter	O
with	butter	<END>	B-NEW
<START>	exchange	flour	O
exchange	flour	with	B-OLD
flour	with	chicken	O
with	chicken	<END>	B-NEW
<START>	can	we	O
can	we	swap	O
we	swap	rice	O
swap	rice	with	B-OLD
rice	with	beef	O
with	beef	?	B-NEW
beef	?	<END>	I-NEW
<START>	change	beef	O
change	beef	to	B-OLD
beef	to	cheese	O
to	cheese	<END>	B-OLD
<START>	i	want	O
i	want	to	O
want	to	include	O
to	include	beef	O
include	beef	<END>	B-NEW
<START>	please	use	O
please	use	almond milk	O
use	almond milk	instead	B-NEW
almond milk	instead	of	O
instead	of	mushroom	O
of	mushroom	<END>	B-OLD
<START>	i	want	O
i	want	to	O
want	to	include	O
to	include	coconut milk	O
include	coconut milk	<END>	B-NEW
<START>	remove	eggs	O
remove	eggs	<END>	B-OLD
<START>	remove	coconut milk	O
remove	coconut milk	<END>	B-OLD
<START>	add	rice	O
add	rice	to	B-NEW
rice	to	the	O
to	the	list	O
the	list	<END>	B-NEW
<START>	exclude	beef	O
exclude	beef	<END>	B-OLD
<START>	switch	mushroom	O
switch	mushroom	for	B-OLD
mushroom	for	yogurt	O
for	yogurt	<END>	B-NEW
<START>	substitute	yogurt	O
substitute	yogurt	for	B-OLD
yogurt	for	almond milk	O
for	almond milk	<END>	B-NEW
<START>	i	prefer	O
i	prefer	oat flour	O
prefer	oat flour	over	B-OLD
oat flour	over	yogurt	O
over	yogurt	<END>	B-NEW
<START>	replace	mushroom	O
replace	mushroom	with	B-OLD
mushroom	with	coconut milk	O
with	coconut milk	<END>	B-NEW
<START>	can	you	O
can	you	remove	O
you	remove	mushroom	O
remove	mushroom	?	B-OLD
mushroom	?	<END>	I-OLD
<START>	please	add	O
please	add	coconut milk	O
add	coconut milk	<END>	B-NEW
<START>	i	want	O
i	want	to	O
want	to	include	O
to	include	olive oil	O
include	olive oil	<END>	B-NEW
<START>	take	out	O
take	out	vegan cheese	O
out	vegan cheese	<END>	B-OLD
<START>	can	you	O
can	you	remove	O
you	remove	vegan cheese	O
remove	vegan cheese	?	B-OLD
