Label	Text
add	add coconut milk to the list
substitute	trade quinoa for oat flour
remove	can you remove rice?
substitute	exchange butter with cheese
substitute	change rice to cheese
remove	get rid of eggs
remove	exclude almond milk
add	please add sugar
remove	no coconut milk in this
add	include honey please
remove	skip the eggs
substitute	replace yogurt with beef
add	i'd like to add butter
add	add vegan cheese to the list
add	i'd like to add vegan cheese
substitute	i prefer butter over quinoa
substitute	use oat flour instead of almond milk
remove	take out oat flour
remove	delete olive oil from the list
remove	exclude mushroom
add	i'd like to add oat flour
substitute	use almond milk instead of oat flour
add	let's put cheese in it
remove	skip the honey
remove	take out milk
remove	eliminate beef
substitute	replace beef with tofu
substitute	please use sugar instead of yogurt
remove	skip the butter
add	please add oat flour
remove	remove eggs
substitute	trade oat flour for olive oil
substitute	trade tofu for olive oil
remove	no quinoa in this
remove	eliminate chicken
remove	eliminate coconut milk
add	i'd like to add cheese
remove	get rid of chicken
add	add coconut milk to the list
add	throw in some sugar
remove	delete butter from the list
add	can you add honey?
substitute	trade coconut milk for chia seeds
remove	can you remove eggs?
substitute	exchange vegan cheese with butter
substitute	exchange flour with chicken
substitute	can we swap rice with beef?
substitute	change beef to cheese
add	i want to include beef
substitute	please use almond milk instead of mushroom
add	i want to include coconut milk
remove	remove eggs
remove	remove coconut milk
add	add rice to the list
remove	exclude beef
substitute	switch mushroom for yogurt
substitute	substitute yogurt for almond milk
substitute	i prefer oat flour over yogurt
substitute	replace mushroom with coconut milk
remove	can you remove mushroom?
add	please add coconut milk
add	i want to include olive oil
remove	take out vegan cheese
remove	can you remove vegan cheese?
substitute	please use oat flour instead of cheese
remove	exclude sugar
substitute	substitute butter for vegan cheese
remove	no almond milk in this
add	let's put coconut milk in it
add	i'd like to add oat flour
add	please add butter
remove	can you remove chicken?
add	include beef please
add	insert yogurt to my recipe
add	throw in some vegan cheese
add	let's put flour in it
substitute	please use almond milk instead of honey
remove	take out almond milk
remove	get rid of rice
remove	exclude flour
remove	remove olive oil
substitute	can we swap olive oil with chicken?
add	i'd like to add butter
substitute	i prefer coconut milk over mushroom
substitute	replace coconut milk with yogurt
add	let's put eggs in it
substitute	substitute oat flour for yogurt
remove	delete yogurt from the list
substitute	use cheese instead of sugar
add	add milk
remove	skip the coconut milk
add	insert tofu to my recipe
remove	get rid of chicken
add	can you add mushroom?
remove	take out quinoa
substitute	use oat flour instead of milk
substitute	please use eggs instead of almond milk
add	please add yogurt
remove	get rid of beef
substitute	use quinoa instead of oat flour
add	please add milk
remove	get rid of honey
add	i'd like to add quinoa
remove	can you remove vegan cheese?
add	please add coconut milk
add	throw in some chicken
substitute	change chicken to olive oil
add	please add yogurt
substitute	i prefer tofu over yogurt
add	insert rice to my recipe
remove	can you remove chia seeds?
add	throw in some honey
remove	get rid of mushroom
add	please add chia seeds
substitute	exchange chia seeds with oat flour
remove	can you remove quinoa?
add	add olive oil to the list
substitute	can we swap cheese with flour?
remove	can you remove chicken?
add	insert almond milk to my recipe
substitute	change mushroom to beef
add	i want to include almond milk
remove	eliminate olive oil
remove	exclude yogurt
remove	get rid of quinoa
add	can you add yogurt?
substitute	please use oat flour instead of quinoa
remove	remove tofu
remove	get rid of milk
substitute	replace tofu with vegan cheese
substitute	i prefer chia seeds over coconut milk
add	add yogurt to the list
remove	get rid of rice
substitute	switch quinoa for tofu
remove	delete flour from the list
add	add oat flour
substitute	use chia seeds instead of flour
add	i want to include sugar
substitute	switch flour for honey
add	please add quinoa
remove	no milk in this
remove	no coconut milk in this
add	insert vegan cheese to my recipe
add	please add tofu
substitute	exchange oat flour with chia seeds
substitute	use quinoa instead of sugar
substitute	can we swap tofu with sugar?
substitute	exchange butter with oat flour
remove	no coconut milk in this
add	can you add chicken?
substitute	replace milk with beef
remove	remove tofu
substitute	i prefer cheese over butter
remove	remove oat flour
substitute	change mushroom to honey
add	can you add olive oil?
substitute	substitute honey for quinoa
add	add mushroom
substitute	use sugar instead of cheese
add	add sugar to the list
substitute	use butter instead of rice
remove	eliminate chicken
substitute	substitute flour for tofu
substitute	can we swap chicken with butter?
add	add beef to the list
remove	no milk in this
remove	skip the tofu
add	insert rice to my recipe
add	i want to include beef
substitute	substitute sugar for chia seeds
substitute	please use honey instead of rice
substitute	exchange sugar with beef
substitute	trade coconut milk for flour
remove	exclude milk
remove	skip the coconut milk
substitute	switch flour for chicken
remove	eliminate coconut milk
remove	delete tofu from the list
substitute	substitute eggs for flour
substitute	trade butter for rice
add	let's put chia seeds in it
add	insert mushroom to my recipe
remove	remove mushroom
add	please add rice
remove	get rid of eggs
add	can you add cheese?
substitute	change olive oil to honey
remove	eliminate chia seeds
substitute	substitute tofu for sugar
remove	no yogurt in this
remove	get rid of mushroom
substitute	change quinoa to rice
remove	no butter in this
add	please add vegan cheese
substitute	exchange almond milk with oat flour
add	i'd like to add yogurt
remove	don't use flour
add	can you add chia seeds?
add	add coconut milk to the list
remove	no milk in this
remove	exclude almond milk
remove	no beef in this
add	i'd like to add almond milk
remove	can you remove coconut milk?
remove	take out almond milk
substitute	use beef instead of tofu
substitute	please use butter instead of sugar
add	add honey
substitute	i prefer flour over yogurt
remove	take out butter
add	include olive oil please
substitute	please use chicken instead of beef
substitute	change honey to beef
substitute	i prefer chicken over olive oil
remove	remove chicken
add	add flour
remove	skip the oat flour
substitute	switch vegan cheese for chia seeds
substitute	exchange honey with almond milk
add	let's put almond milk in it
substitute	i prefer oat flour over mushroom
add	please add yogurt
add	i want to include olive oil
add	add eggs to the list
substitute	please use sugar instead of milk
substitute	switch sugar for chicken
substitute	change chia seeds to vegan cheese
add	include sugar please
add	include milk please
add	throw in some almond milk
substitute	use sugar instead of yogurt
substitute	change olive oil to rice
substitute	switch yogurt for beef
substitute	replace almond milk with flour
substitute	can we swap eggs with sugar?
add	i want to include almond milk
remove	don't use coconut milk
remove	can you remove cheese?
add	let's put yogurt in it
add	please add olive oil
add	throw in some quinoa
remove	can you remove rice?
remove	can you remove chia seeds?
remove	delete milk from the list
remove	get rid of eggs
remove	can you remove rice?
substitute	replace yogurt with flour
substitute	i prefer coconut milk over milk
substitute	can we swap flour with eggs?
add	add flour
substitute	exchange almond milk with honey
add	add honey
remove	can you remove chicken?
remove	exclude cheese
add	i want to include mushroom
add	please add yogurt
substitute	replace quinoa with vegan cheese
substitute	switch honey for butter
remove	can you remove mushroom?
remove	don't use honey
substitute	i prefer milk over flour
remove	skip the chia seeds
substitute	switch almond milk for rice
remove	remove tofu
remove	don't use flour
add	include mushroom please
substitute	switch milk for quinoa
substitute	switch cheese for coconut milk
remove	skip the beef
